,Anime_Name,Anime_img_url,Sub_Dub
33,Megaton-kyuu Musashi 2nd Season,https://img.zorores.com/_r/300x400/100/5a/63/5a63c80ec77adabe9bd0521f97e4d80d/5a63c80ec77adabe9bd0521f97e4d80d.jpg,['SUB']
34,The Human Crazy University,https://img.zorores.com/_r/300x400/100/4d/24/4d24786c1528920750c32fa2e58d23c4/4d24786c1528920750c32fa2e58d23c4.jpg,['SUB']
35,The Daily Life of the Immortal King 3,https://img.zorores.com/_r/300x400/100/9a/c4/9ac4bae5e2b6eea2a0e8aa1ebc24e67e/9ac4bae5e2b6eea2a0e8aa1ebc24e67e.jpg,['SUB']
36,The Seven Deadly Sins: Grudge of Edinburgh,https://img.zorores.com/_r/300x400/100/72/6b/726bdc21601810d426f431bedd07baab/726bdc21601810d426f431bedd07baab.jpg,"['SUB', 'DUB']"
37,Romantic Killer,https://img.zorores.com/_r/300x400/100/91/7c/917c698c10d9bcd546a91c6b6777d675/917c698c10d9bcd546a91c6b6777d675.jpg,"['SUB', 'DUB']"
38,Tiger & Bunny 2 Part 2,https://img.zorores.com/_r/300x400/100/90/0e/900efd69600343a2faa18ba2897aca1d/900efd69600343a2faa18ba2897aca1d.jpg,"['SUB', 'DUB']"
39,Forty Millenniums of Cultivation,https://img.zorores.com/_r/300x400/100/b6/59/b659d9ee890acbcbcc57143f10f913f8/b659d9ee890acbcbcc57143f10f913f8.png,['SUB']
40,Lupin Zero,https://img.zorores.com/_r/300x400/100/3a/20/3a205accc34ed3be091e1b6abbbe7c6a/3a205accc34ed3be091e1b6abbbe7c6a.jpg,['SUB']
41,The Three-Body Problem,https://img.zorores.com/_r/300x400/100/c3/55/c355a0b8f4152347f68aede7497987b2/c355a0b8f4152347f68aede7497987b2.jpg,['SUB']
42,One Piece Film: Red,https://img.zorores.com/_r/300x400/100/a1/e9/a1e98b07e290cd9653b41a895342a377/a1e98b07e290cd9653b41a895342a377.jpg,"['SUB', 'DUB']"
43,Me & Roboco,https://img.zorores.com/_r/300x400/100/b3/6a/b36a905f2d058ffa30672be696b647aa/b36a905f2d058ffa30672be696b647aa.jpg,['SUB']
44,Lookism,https://img.zorores.com/_r/300x400/100/36/f7/36f79c46b79fcd43c27b20c34ba84ead/36f79c46b79fcd43c27b20c34ba84ead.jpg,"['SUB', 'DUB']"
45,Dragon Ball Super: Super Hero,https://img.zorores.com/_r/300x400/100/e3/a0/e3a0c29bf713cc99e35de227eb9c93d8/e3a0c29bf713cc99e35de227eb9c93d8.jpg,['SUB']
46,Hanako,https://img.zorores.com/_r/300x400/100/9e/21/9e218eacea3adb9617e2c29086374f39/9e218eacea3adb9617e2c29086374f39.jpg,['SUB']
47,JoJo's Bizarre Adventure: Stone Ocean Part 3,https://img.zorores.com/_r/300x400/100/b5/9e/b59e46f13d954d950eeae33bed2b5df8/b59e46f13d954d950eeae33bed2b5df8.jpg,"['SUB', 'DUB']"
48,The Infinitors,https://img.zorores.com/_r/300x400/100/52/d2/52d277de317f4f36528017b2437e0183/52d277de317f4f36528017b2437e0183.jpg,['SUB']
49,Apotheosis,https://img.zorores.com/_r/300x400/100/9c/92/9c927d8b129c4ed946daaa19f8c1f9fb/9c927d8b129c4ed946daaa19f8c1f9fb.png,['SUB']
50,Tonikawa: Over the Moon for You - Uniform,https://img.zorores.com/_r/300x400/100/e0/b4/e0b4699724197278f7e0f2daa2de8782/e0b4699724197278f7e0f2daa2de8782.jpg,['SUB']
51,Detective Conan Movie 25: The Bride of Halloween,https://img.zorores.com/_r/300x400/100/8f/85/8f853b563b758977252bcfc34c7b34f0/8f853b563b758977252bcfc34c7b34f0.jpg,['SUB']
52,Detective Conan: Love Story at Police Headquarters - Wedding Eve,https://img.zorores.com/_r/300x400/100/f5/00/f500125d43b070fb2460fc0eceb783f3/f500125d43b070fb2460fc0eceb783f3.jpg,['SUB']
53,Blood and heart: The legendary life of a Japanese youth in China,https://img.zorores.com/_r/300x400/100/50/78/5078b9d65ddf14fe7f696ed85617edd4/5078b9d65ddf14fe7f696ed85617edd4.jpg,['SUB']
54,Kagejitsu!,https://img.zorores.com/_r/300x400/100/1b/1a/1b1a6fe3947e517a2eb8e3a0d8de91e8/1b1a6fe3947e517a2eb8e3a0d8de91e8.jpg,['SUB']
55,The Land of Miracles,https://img.zorores.com/_r/300x400/100/da/61/da61109d5525406b68c11ad4e809ad7c/da61109d5525406b68c11ad4e809ad7c.png,['SUB']
56,Road of Naruto,https://img.zorores.com/_r/300x400/100/fd/41/fd414879634ea83ad2c4fc1c33e8ac43/fd414879634ea83ad2c4fc1c33e8ac43.jpg,['SUB']
